func	file	score	size
func_15000940	game_2DDF0	NA	96
func_15001A08	game_2DF70	NA	66
func_15002560	game_2DF70	NA	39
func_15002754	NA	0	NA
func_150027F8	NA	0	NA
func_15003120	game_305D0	175	51
func_15003570	game_305D0	NA	62
func_150049A4	game_30E90	NA	42
func_15004A4C	NA	0	NA
func_15004AAC	game_30E90	NA	81
func_15004BF0	conker/src/game_30E90.c	60	NA
func_15004CE0	NA	0	NA
func_15005290	game_32740	NA	141
func_15005818	game_32740	NA	146
func_1500707C	game_33990	NA	59
func_15007168	game_33990	NA	69
func_1500727C	game_33990	NA	57
func_15007360	game_33990	NA	56
func_15007440	game_33990	NA	70
func_15007558	game_33990	NA	59
func_15007778	game_33990	NA	46
func_15008870	NA	0	NA
func_15008930	game_35D20	NA	40
func_15008BF0	game_360A0	NA	120
func_1500A6D8	NA	0	NA
func_1500A7E8	game_36680	60	56
func_1500AC14	game_36680	NA	92
func_1500AD84	game_36680	NA	97
func_1500B1F4	NA	0	NA
func_1500B714	NA	0	NA
func_1500B8F4	NA	0	NA
func_1500BAB8	NA	0	NA
func_1500BC7C	NA	0	NA
func_1500E470	/home/ethan/conker/conker/src/game_3B920.c	10	NA
func_1500E5C0	game_3BA70	NA	83
func_1500E738	game_3BA70	NA	86
func_1500E8C0	game_3BA70	NA	120
func_1500F290	NA	0	NA
func_1500F378	NA	0	NA
func_1500F9D0	NA	0	NA
func_1500FE30	game_3D2E0	NA	91
func_1500FF9C	NA	0	NA
func_1500FFCC	game_3D2E0	NA	81
func_15010110	NA	0	NA
func_150104F0	game_3D9A0	NA	18
func_15010600	game_3D9A0	NA	32
func_15010880	game_3DC30	NA	84
func_15011D60	game_3F1F0	NA	112
func_150121C0	game_3F670	NA	108
func_15012370	game_3F820	NA	64
func_15012ED8	game_3FC60	NA	46
func_15012F90	game_3FC60	70	20
func_15013000	game_40490	NA	45
func_15013778	game_40490	NA	125
func_15013C38	NA	0	NA
func_15013D38	game_40490	NA	44
func_15013DE8	game_40490	40	109
func_15014094	game_40490	NA	44
func_15014144	NA	0	NA
func_15014220	NA	0	NA
func_150142AC	NA	0	NA
func_150142EC	/home/ethan/conker/conker/src/game_40490.c	63	NA
func_15014F6C	NA	0	NA
func_15015104	NA	0	NA
func_150151D4	NA	0	NA
func_15015644	NA	0	NA
func_15015920	game_42DC0	NA	70
func_15015E80	game_43330	NA	48
func_15015F40	game_433F0	NA	31
func_15015FBC	game_433F0	NA	109
func_15016170	game_43620	NA	80
func_150163D0	game_43880	NA	76
func_15016588	conker/src/game_439B0.c	70	NA
func_15016850	game_43D00	NA	84
func_15017114	game_43D00	NA	123
func_150174C0	game_447B0	NA	46
func_15017640	game_44A90	NA	84
func_150183D0	game_45880	NA	76
func_15019464	game_45B80	460	79
func_15019BB8	/home/ethan/conker/conker/src/game_45B80.c	50	NA
func_15019CC8	game_45B80	NA	102
func_1501A220	game_476D0	NA	95
func_1501A39C	game_476D0	NA	61
func_1501A490	game_476D0	NA	124
func_1501A764	game_476D0	100	87
func_1501AE94	NA	0	NA
func_1501AF44	NA	0	NA
func_1501B0A0	game_476D0	16	99
func_1501B22C	game_476D0	64	61
func_1501B640	NA	0	NA
func_1501BB20	game_48FD0	10	38
func_1501C010	game_48FD0	NA	56
func_1501C0F0	game_48FD0	NA	35
func_1501C17C	NA	0	NA
func_1501C53C	NA	0	NA
func_1501C57C	game_48FD0	NA	109
func_1501C730	game_49BE0	NA	76
func_1501CC3C	game_49D30	NA	97
func_1501CDC0	game_49D30	NA	37
func_1501CE54	game_49D30	NA	105
func_1501CFF8	game_49D30	NA	19
func_1501D044	game_49D30	NA	100
func_1501D1D4	game_49D30	NA	33
func_1501D258	NA	0	NA
func_1501D2C4	game_49D30	NA	33
func_1501DE18	game_49D30	50	59
func_1501DF04	game_49D30	30	86
func_1501E05C	NA	0	NA
func_1501E1B4	game_49D30	NA	81
func_1501E2F8	game_49D30	NA	66
func_1501E400	game_49D30	26	80
func_1501E540	game_49D30	NA	127
func_1501E73C	game_49D30	NA	56
func_1501E81C	game_49D30	NA	127
func_1501FC8C	game_49D30	NA	119
func_1501FE68	NA	0	NA
func_15022024	game_49D30	NA	91
func_15022190	NA	0	NA
func_150221E8	NA	0	NA
func_1502225C	game_49D30	NA	33
