func	bytes	tu	origin_snapshot	measured_2026_08_11
func_1504CB98	18000	game_77AD0.c	f1504CB98.c	-
func_1517BBAC	5144	game_1A89B0.c	v1.c	1
func_1510E950	3320	game_13BB20.c	best_5693.c	5693
func_151E1744	2880	game_20AE20.c	big_func_151E1744.c	-
func_1513264C	1024	game_15F680.c	best_full_765.c	-
func_150FAE18	880	game_126F60.c	e1.c	-
func_150C3230	836	game_EF410.c	best_func_150C3230.c	-
func_150A09D0	836	game_CDE80.c	func_150A09D0_score20.c	20
func_1515E544	836	game_18A8F0.c	func_1515E544_best655.c	655
func_150D1810	816	game_FECC0.c	best270.c	270
func_1517685C	808	game_1A20A0.c	func_1517685C_best315.c	315
func_151D9B8C	804	game_2062D0.c	best_1025.c	1025
func_151D5E90	800	game_203340.c	nearmiss_func_151D5E90_1500.c	-
func_151D197C	796	game_1FA770.c	best_1043.c	1043
func_150242F8	788	game_50D80.c	best_v3_90.c	3
func_151742EC	772	game_1A11B0.c	func_151742EC_best2240.c	2240
func_151718F0	772	game_19E040.c	t_v5.c	5
func_1515EC78	764	game_18A8F0.c	nearmiss_func_1515EC78_360.c	-
func_1515E888	764	game_18A8F0.c	recon_func_1515E888.c	-
func_1508E89C	756	game_B3020.c	bestc_func_1508E89C.c	-
func_15052F9C	736	game_77AD0.c	base2_body.c	-
func_15085430	736	game_B21B0.c	bestc_func_15085430.c	-
func_15177F90	728	game_1A5440.c	game_1A5440_func_15177F90_best605.c	605
func_15187A98	724	game_1B1600.c	nearmiss_func_15187A98_55.c	-
func_15040FCC	720	game_6E240.c	nearmiss_func_15040FCC_2465.c	-
func_15060F28	704	game_83300.c	F28_best1830.c	1830
func_1516A7B0	704	game_197C20.c	g_best.c	-
func_15060778	696	game_83300.c	nearmiss_func_15060778_2878.c	2878
func_1502BAD0	692	game_58F80.c	best45.c	45
func_150EB614	688	game_1188E0.c	func_150EB614_best_1883.c	1883
func_150FA1B8	688	game_126F60.c	fa1b8_best1695.c	1695
func_150585F0	680	game_83300.c	f0_best10.c	10
func_151B5BF0	676	game_1E30A0.c	nearmiss_func_151B5BF0_765.c	-
func_1517A3A0	676	game_1A7260.c	save_v3.c	3
func_1509BBA0	672	game_C8950.c	BBA0_best685.c	685
func_151B7998	672	game_1E37D0.c	best2378_game_1E37D0.c	2378
func_1512DEA4	668	game_15B200.c	nearmiss_func_1512DEA4_1575.c	-
func_1511F4D0	664	game_142560.c	nearmiss_func_1511F4D0.c	-
func_150144B8	660	game_40490.c	g40490_best207.c	207
func_15174690	656	game_1A1B40.c	g1A1B40_best865.c	865
func_151E7F60	652	game_20AE20.c	best1761_7f60.c	1761
func_151B9964	652	game_1E6B40.c	best350_func_151B9964.c	350
func_150870D0	640	game_B3020.c	nearmiss_func_150870D0_105.c	-
func_1512C20C	624	game_157840.c	g157840_best1536.c	1536
func_15021DB8	620	game_49D30.c	DB8_v2.c	2
func_15121490	616	game_14D110.c	best115.c	115
func_151D61B0	616	game_203340.c	best_2100.c	2100
func_1510C8A8	616	game_138520.c	func_1510C8A8_MATCH_game_138520.c	-
func_1508B9BC	612	game_B3020.c	best_v6.c	6
func_15045AE4	612	game_71820.c	func_15045AE4_nearmiss_1273.c	1273
func_1516D738	612	game_19A8B0.c	func_1516D738_nearmiss_630.c	630
func_150E1AB0	612	game_10EF60.c	nearmiss_func_150E1AB0.c	-
func_150CD59C	604	game_FA360.c	FA360_150CD59C_best330.c	330
func_15115368	600	game_142560.c	best_func_15115368.c	-
func_1502F01C	584	game_58F80.c	nearmiss_func_1502F01C.c	-
func_1506AD30	580	game_981E0.c	best_func_1506AD30.c	-
func_15148BA4	572	game_175250.c	nearmiss_func_15148BA4.c	-
func_1503E5F8	564	game_6B320.c	E5F8_best1215.c	1215
func_15145740	564	game_16EE20.c	best_1585.c	1585
func_151219D0	560	game_14EE80.c	v1715.c	1715
func_1505A3A8	548	game_83300.c	func_1505A3A8.c	20
func_15089F9C	544	game_B3020.c	v620.c	620
func_15184150	536	game_1B1600.c	nearmiss_func_15184150.c	-
func_1510D404	516	game_139FC0.c	nearmiss_func_1510D404.c	-
func_1517DE5C	512	game_1A89B0.c	honest.c	-
func_1502F9FC	492	game_58F80.c	best_550.c	550
func_151B09BC	460	game_1DD500.c	grind_func_151B09BC.c	-
func_15010880	336	game_3DC30.c	orig_game_3DC30.c	-
func_100049E0	144	init_49E0.c	v2.c	2
func_15007B3C	96	game_34F20.c	body_v1.c	1
func_151EFF94	92	game_21D420.c	game_21D420.MATCHES_WITH_O2_NO_G3.c	-
func_1509F850	56	game_CCD00.c	jtbl2_func_1509F850.c	-
func_150611E8	1012	game_83300.c	-	4538
func_15162B28	976	game_18D770.c	v1.c	1
func_15196748	1028	game_1C2C60.c	v1.c	1
func_150BE494	956	game_EB340.c	-	585
func_150428D4	876	game_6E770.c	-	3857
